Index,Sentences,Label,Words,Notes,Unnamed: 5
685,"Additional things to love include a corn maze, petting zoo, bouncy houses, pumpkin and apple cannons, apple cider donuts, corn on the cob, giant tractors and so much more!",environment,"petting, pumpkin, donuts, and so much more",,
686,In one word: Overrated.,,,,
687,Fan-freakin-tastic.,,,,
688,Meats.,,,,
689,"On the Main Drag, you can't miss it.",,,,
690,"I met a few gal pals down here last night, we picked out some local ingredients and made dinner at one of their lofts.",quality,"local, ingredients",,
691,Lots of people and good range of goods.,environment,"people, range of foods",,
692,"I can do nothing but rave about it... and rave, I have!",,,,
693,It can be.,,,,
694,"The fruits and vegetables and even flowers just don't seem as good as say, the Division street farmers market, for some reason.",quality,as good as,,
695,Upon arriving at the corner of Glenwood & Morse...you could just feel the excitement (truly it was palpable).,environment,"excitement, feel",,
696,"We always find something delicious to eat, and love spending time listening to music while our son plays on the lawn.","quality, environment","music, plays, delicious",,
697,"Hans, Katie, and Dave are experienced and well read farmers.",,,,
698,Give it a try you will enjoy this place with the kids.,environment,"enjoy, kids",,
699,I love it when vendors give out samples - we bought several things we otherwise wouldn't have!,environment,"vendors, samples",,
700,"I've seen other places where medium eggs, small eggs, and XL eggs are all in the same dozen and they charge $5.",,,,
701,No fall in Carbondale is complete without a visit to the orchard.,,,,
702,There is also a crepe station and these are amazing!,,,,
703,"The Moms just hang out in the grass with their young children, listening to the live music and munching on fresh veggies and fruits.",environment,"live music, children",,
704,The reason I asked was that I was repeatedly surprised by how much I was being charged based on what I thought the quantity was.,,"quantity, charged",price,
705,Had she handled it correctly I would have happily handed over the $1 for the post harvest apple and completed my purchase.,,,,
706,"I will definitely be back Easy to locate, super convenient garage parking if street is unavailable.",environment,"convenient, parking",,
707,I went here becuas of the crossfit gym that I was dropping in at.,,,,
708,Fresh pasta!,,,,
709,"Clearly, she wasn't listening to my request.",,,,
710,The farmer's market is one of my favorite things to do every Saturday!,,,,
711,I will drive miles out of my way to get one of those slushies; they are that good.,,,,
712,This is a lot of fun on Saturday mornings.,environment,a lot of fun,,
713,"Today, Almond & Olive played while I ate my amazing stuffed cabbage leaves, and the entire experience took my breath away.",quality,"ate, amazing",,
714,"However, the people are friendly & the vendors are super excited to show you what they have.",environment,"people, friendly, excited, vendors",,
715,I also found some very dark honey which made me think of Guiness beer so I had to have some.,,,,
716,"I think Honeycrisp season is over, but they have them in the barn to purchase, along with various jams, butters and other local goods.",,,,
717,"Great Harvest Bread Company: Featuring items such as:apple crumble bread, oatmeal raisin bread, cinnamon raisin walnut bread, Dakota bread, high five fiber bread, cinnamon chip bread, Challah bread, rosemary garlic bread.",availability,"featuring items, such as",,
718,"Just note that these vendors change or rotate on an annual basis, so when you see a vendor that you absolutely love, make sure you get their business card/contact information and/or stock up on their items!",,,,
719,Those who shop in the regular food store should know that beautiful sign you see hanging of fresh eggs or dairy with the pretty little farm is far from the truth.,,,,
720,There's nothing like eating a big juicy peach that was picked in the last day or so.,quality,"juicy, peach",,
721,This kind.,,,,
722,Fell in love with this place.,,,,
723,"Great variety of local meat, veggies, fresh cut/live flowers, cheese's, hand crafts, and jewelry.",availability,great variety of,multiple commma,
724,(air on of course).,,,,
725,I hate to admit this but the variety isn't quite there to convert me as a regular.,availability,variety,,
726,Zucchini Cherries Blueberries Peaches Baby potatoes Blackberries Raspberries Strawberries Tomato,availability,"zucchini, cherries, bluberries, peaches, baby potatoes, blackberries, raspberries, strawberries, tomato",,
727,"Came home with fresh eggs (never had a fresh egg before), honey, cocoa honey, garlic, pork loin roast and newly signed up for a 20 weeks csa starting in june.",availability,garlic,multiple commma,
728,There are a bunch of a meat vendors.,,,,
729,We tried some honey.,availability,tried,,
730,Really?,,,,
731,And it's oh so conveniently located in the Schlafly Bottleworks parking lot.,environment,"conveniently, located, parking, lot",,
732,Today we stopped there after grabbing some coffee on 18th and Carpenter ;-).,environment,coffee,,
733,I remember the bucket cost us like $40 so it's a little pricey but the apples were absolutely delicious and I would like to make this an annual thing with my kids.,quality,"delicous, cost",price,
734,"Fresh fruit and veggies, hand made soap, cup cakes, donuts, goat cheese, plants, honey and more!",availability,"fresh fruit and veggies, and more",multiple commma,
735,"It's a small town, but I'm constantly impressed by my surroundings.",,,,
736,Good mix of farmers vs. non farmers.,,,,
737,This was once a hot scene when the Pokemon craze was in full swing and you could find people of all ages walking around while glaring at their mobile devices.,,,,
738,"My husband and I had a great time relaxing, enjoying the beautiful setting, and mingling with the other guests and our hosts.",environment,"relaxing, enjoying, beautiful, setting",,
739,"Flowers are always a ""must buy"".",environment,flowers,,
740,I stopped here first then went for Chicken & Waffles at Goody Goody diner on way home since it was so early in the morning.,,,,
741,"Like any clown, however, I am crying on the inside.",,,,
742,We basically love the organizers and have become regulars over the course of this summer/fall.,environment,organizers,,
743,Thank goodness it was drizzling or the mosquitoes would have been unbearable.,environment,mosquitoes,,
744,We always spend some time to just talk with her... and get a slice.,,,,
745,I come every Sunday and find delicious items to bring back home.,quality,delicious,,
746,"If it grows within 200 miles of Chicago, chances are it's for sale here on Sunday morning!",,,,
747,Every time I have stopped by there is something seasonal at the store.,quality,seasonal,,
748,My husband commented last week on how good our dinners dishes have tasted since we started shopping here.,quality,"good, tasted",,
749,I got the chicken wrap and the hubby got the turkey Swiss sandwich.,,,,
750,We especially like the friendly folks from Klug Farms and the cheese vendor.,environment,"friendly, folks",,
751,I know it's early in the growing season but really nothing offered was worth the trip.,,,,
752,"Our dog was similarly impressed with her beef and peanut butter treats from Tailwaggers, right next to Tony's booth at the Market.",environment,dog,,
753,"I am just a very infrequent visitor, but I LOVE THIS PLACE.",,,,
754,We met a woman who had soups for sale.,,,,
755,"This is by far my favorite farmer's market....it's the right size and has a perfect amount of great, friendly vendors.",environment,"size, amount, friendly, vendors",,
756,I'd suggest a walk or bike ride there - parking is a bit of a challenge.,environment,"walk, parking",,
757,"From what I gather, this market is newer, maybe still getting rolling.",,,,
758,Check it out!,,,,
759,"I was skeptical, but dang they are absolutely AMAZING.",environment,amazing,,
760,It is one of my favorite ones.,,,,
761,Thank you for providing such amazing customer service and always having helpful employees around.,environment,"customer service, helpful",,
762,Her name is Pat and she is super tall and always active about the mkt.,,,,
763,"I snapped up some sweet corn, brussels sprouts, and apples after waffling over whether to take home the season's last strawberries.",availability,"sweet corn, sprouts, apples, strawberries",,
764,"The indoor market and winter market is invite only, and guess who gets the invitations (again, Hollywood, and the food vendors who kiss CC's booty).",,,,
765,"And, they are all local.",,,,
766,"Kind of pricey, so come with your family.",environment,"family, pricey",price,
767,"Multiple farm stands, a stall selling canned goods, a butcher, and fresh made pasta.",availability,"multiple, selking",multiple commma,
768,"They're open 8-12, saturdays.",,,,
769,"Another year, another Horner Park Farmer's Market.",,,,
770,"When I made my visit, it was for their annual food truck rally.",,,,
771,The prices are reasonable and the vendors are friendly.,environment,"prices, resonable, vendors, friendly",price,
772,Pig hearts are fairly small.,,,,
773,They dont allow dogs which is mind blowing since it is an outside market for crying out loud.,safety,"dogs, allow",,
774,This farmer's market seemed even smaller than Logan Square's.,,,,
775,(I think I see a sandwich in my near future.),,,,
776,An unbelievable array of items that taste the best!,quality,"taste, best",,
777,One of the better local farmer's markets.,,,,
778,"Unbeknownst to me, because I am, at times, rather absentminded, I dropped my phone at the market, somewhere between the tomatoes, the pickles, and the SENSATIONAL PEAR MELON.",,"tomatoes, pickles, pear melon",,
779,Saturday 6/22/13 was the first Washington Farmers' Market.,,,,
780,"Besides the usual fresh produce, they also stock honey, jellies and jams, and other products from Amish farmers downstate.",availability,stock,,
781,"The radishes tasted good, but some were ""woody"". The strawberry preserves were excellent!","quality, availability","tasted good, radishes, strawberry",,
782,Lot's of options and not all will hurt your wallet,,,,
783,"They've also updated the kids corn maze to include a ""who dun it"" clues finding game.",,,,
784,Spring is so lovely in tower Grover park and this market is just the right size.,environment,"lovely, park, size",,
785,Is it me or would anyone else pay 7.00 a carton??,,,,
786,"Do not come here on Wednesday, 90%of vendors not here.",,,,
787,(None of my ears had anything wrong with them!),,,,
788,As well as free music!,environment,free music,,
789,Will definitely return when I have a some extra time to look around at everything This was an unexpected treat for me when I went to go to the Museum of Contemporary Art.,environment,"museum, art",,
790,"Organic and locally grown produce that while yes it's more than you pay in grocery stores, I'd rather know where my food came from and pay the extra to feel secure it's not a GMO product grown in Mexico then covered in wax and shipped here.",quality,"organic, locally-grown",,
791,"And, supportive.",environment,supportive,,
792,This year they're doing lots of events too.,environment,events,,
793,I'm from a smaller town and this little market reminds me of home!,environment,"little, home",,
794,"Some of my favorites I've seen at other FM in the area, like Lester's Bison Farm (good quality meat, lean and inexpensive comparatively), Mama's Jams, and Wild Flour Bakery.",,,,
795,Makes me so happy that it's summer!,,,,
796,"Pick up your eggs from the white fridge on the porch, put money in the box.",,,,
797,"Today is the last day of the Lisle French Market for the year, and I'm going to miss it!",,,,
798,"They even have different events and themes each week, often times with an accompanied children's activity.",environment,"events, themes, children's, activity",,
799,The lady at the museum was so friendly.,environment,"museum, friendly",,
800,Morton is literally the pumpkin capital and Ackermans is the crown jewel!,availability,pumpkin,,
801,There were no apples on the trees at all except for bug infested rotten ones.,safety,"bug, infested, rotten",,
802,All good stuff!,quality,good stuff,,
803,"It might be for lack of something to do, as there frequently aren't a lot of customers.",environment,customers,,
804,"Come on, how stupid do they think we are??",,,,
805,"Reasonably priced produce (best rainbow chard I've ever seen/eaten from here for only $2 a bunch!), and several local artisan booths as well - cheese, tamales, eggs/meat, honey, jams, BBQ/hot sauces, jewelry, breads, etc.",environment,"reasonably, priced, artisan, etc.",price,multiple labels
806,"I still wish there was more of a variety, but am satisfied with the quality.","quality, availability","variety, quality",,
807,"This was actually my first time at the Janesville Farmers Market, but mom has been here many times and always brings back goodies.",,,,
808,No complaints love this market.,,,,
809,I'll stick with the Frankfort Market.,,,,
810,"The Pickle Guy says the word ""muffalata"" about 77,000 times a day and it never gets old.",,,,
811,But at least it was only three dollars.,,,,
812,I can't wait to see what kinds of produce are available during the summer!,availability,available,,
813,""". It was in a very rude tone that she couldn't wait to get out all while she ignored the customers at her register.",environment,"rude, ignored, customers",,
814,The right honorable Rogers Park invites you to the city's greenest market in the fair city of Chicago!,quality,greenest,,
815,Shopping feels less like a chore when I am outdoors enjoying the summer weather.,environment,"shopping, feels, chore, enjoying, weather",,
816,"I got a bag of cheese curds, oven baked cheese, horseradish chedder cheese spread, and Morel Mushroom cheese all for about 20 bucks.",availability,a bag of,multiple commma,
817,"You can find organic and/or non-organic veggies/beef, outstanding pork and eggs.",quality,"organic, outstanding",,
818,Many of the produce vendors had really great deals on their beautiful produce.,quality,beautiful,,
819,It took us about an hour to fill two 4-quart buckets between 1.5 adults.,,,,
820,"Art mart, Lincoln Square Mall, Common Ground Co-op and downtown Urbana are all right there also.",,,,
821,"After looking for a u-pick farm somewhere close to the Chicago area to pick peaches, the website for this farm seemed perfect- highlighting that they offer u-pick rain/shine for fruit/herbs, a variety of vegetables, and different types of berries, pears and peaches.",availability,"offer, a variety of, different types of, berries, pears, peaches",,
822,Inquiring minds want to know?,,,,
823,"They have a really good apple flavor, and they definitely symbolize the coming of fall.",quality,"good, flavor",,
824,"As result of the experience above, I decided not to pursue the remaining portion of the farm share, and asked to be reimbursed for the weeks ahead that I had already paid for but did not wish to receive.",,,,
825,I've been wanting to try their Hannah Banana dessert sandwich and although the item wasn't on the menu today the owner said he could make it for me.,,,,
826,Great insulation.,,,,
827,Prices are very reasonable.,environment,"prices, resonable",price,
828,Also great to just stroll around and admire at bustling produce lovers!,,,,
829,Next stop was Toasty Cheese food truck.,,,,
830,There's a local meat guy.,,,,
831,I bought a tomato and some zucchini.,availability,"I bought, tomato, zucchini",,
832,"It's in the Palatine Metra station parking lot, free weekend parking across the tracks, near the park with a gazebo.",environment,parking,,
833,Stopped by after hitting up Kohl's and being told there was no onsite parking (spring break and rain storm).,environment,parking,,
834,"I left with two loaves if bread from 'The Bread Man,' a lemon poppyseed loaf from Allegretti's Bakery, some cheese curds, peas and cherry tomatoes; all of which were very tasty.","quality, availability","tasty, peas, cherry tomatoes",,
835,"Last but certainly not least is my guy, Michael.",,,,
836,"This is a great start to a Saturday morning, grab your reusable back, the dog and a coffee, and go out to shop with the locals!",environment,"dog, coffee",,
837,The owner is completely open about the farms they ship from and it's far much better than mass-processed poultry.,,,,
838,WEIGHT.,,,,
839,Today I also tried the apple butter and their lemon cheesecake fruit dip.,availability,"tried, apple, lemon",,
840,Love the variety of fruits and veggies.,availability,"variety of, fruits and veggies",,
841,Thank your for keeping farm fresh produce an option!,quality,fresh produce,,
842,The market is located on the corner of Adams & Dearborn and is open from 7am to 3pm.,,"open, located",business,
843,The fact that this Farmers Market - which used to be great - has been allowed to dwindle down to a couple of stands - is another example and it's really unfortunate.,,,,
844,This is a really great market to visit on Saturday morning from May-October.,,,,
845,I love the IL tomatoes.,availability,tomatoes,,
846,"Cozy, welcoming, never crowded.",environment,"cozy, welcoming, crowded",,
847,This may be my happy place.,,,,
848,"If you forget your cash, don't despair - you can buy tokens on your credit/debit card and they basically work like cash (you'll get hard change back).",environment,"credit, card, cash",,
849,The FM is located by the Palatine Metra station; there is always plenty of parking nearby.,environment,"located, parking",,
850,"We really like their salmon, which make gigantic fillets for us to Sous Vide.",,,,
851,There was also a honey stand.,,,,
852,Takes awhile to be acknowledged.,,,,
853,"While you are there, might as well stop in to Backstory Cafe- a really nice coffee shop which is a part of Experimental Station and open for anyone to attend during the market.",,,,
854,The produce and flowers were beautiful.,quality,beautiful,,
855,"If your looking for a Sunday morning destination (or any day during the growing season), look no further, as I have the perfect option for you!",,,,
856,My fiance and I get up early ever Saturday to not miss the Farm Fresh Eggs from Hasselmann Family Farms.,,,,
857,So nice strolling the circle around the capital building.,,,,
858,Would have loved it this market had some fresh juices.,quality,"fresh, love",,
859,They always ask us if we found everything we needed and if we need them to order anything in.,availability,"found, needed, order",,
860,"Tiny Greens sells their wonderful organic produce through Wal-Mart, and at some area farmers markets, and probably more places I don't know about yet.",,,,
861,I hope they don't spray as many pesticides but I understand why they do as we wouldn't be able to eat perfect looking apples otherwise.,quality,"pesticides, perfect looking",,
862,"There was a lot of vendors selling the same produce and there was a couple things that caught my eye, peaches 3-$5 seemed kind of expensive so they better be the best peaches I ever bought.",availability,"a lot of, selling",,
863,I will keep this farmer's market in mind but will venture to others.,,,,
864,Disappointing.,,,,
865,I've been to the different types of it or apple orchards this is a little bit smaller than a typical ones that I would see closer to the city of Chicago but it was still a must-see.,,,,
866,I wandered in here with too much cash on me burning a hole in my pocket!!,,,,
867,There is (LITERALLY) like 5 stalls!,,,,
868,And I LOVE being there at the lunch time.,,,,
869,thanks paula of true nature !,quality,"true, nature",,
870,Ever.,,,,
871,Easy to get to from the Chicago suburbs and reasonably priced.,environment,"suburbs, resonably priced",price,
872,I swear there should be a circular about all the behind the tables things that are talked about and done there.,,,,
873,Plus Stella's and Farmer John are there! (It wouldn't be a farmer's market without Stella's and Farmer John!),,,,
874,"My purchases have included jars of very berry jam and apple butter, dried apricots, and a nice big bottle of honey.",availability,"purchases, included, berry, apple, apricots",multiple commma,
875,"I'd stop in when in the area, though not sure I'd make a specific trek here as I have closer markets to me.",,,,
876,I love love love the jewelry offered-picked up some of the cutest earrings for cheap!,,,,
877,The lady from Aleece's Chips had a table showcasing power bars and other baked goods.,,,,
878,This has become the Sunday morning destination for the West Walker/Independence Park/Old Irving Park set.,,,,
879,I'll take two.,,,,
880,It's become part of my routine.,,,,
881,If there's a nice warm day where you're bored come down to Eckerts!,,,,
882,Please spread the word in the West Loop and support this wonderful farmers market.,environment,"support, wonderful",,
883,This one doesn't have as many flower bouquets as other Farmers Markets I've been to.,environment,"flower, bonquests",,
884,They have other varieties for sale in the barn.,availability,"they have, varieties, sale",,
885,"Would definitely go back, a no frills place with delicious strawberries!",quality,"delicious, strawberries",,
886,"No signage, no vendors - nothing.",,,,
887,They also have free yoga and qi gong.,environment,yoga,,
888,The Bruni-Uusto cheese stand is incredible which you can taste before you buy a packet or two.,quality,"incredible, taste",,
889,I would go here again.,,,,
890,The crepes are a nice treat while shopping for healthy veggies & fruit.,quality,"healthy, treat",,
891,I just went to Asia this summer and have been missing the night markets there.,,,,
892,Gotta hand it to these guys for setting this up.,,,,
893,It's so awesome to support the local farmers/vendors.,environment,"support, local",,
894,Apple butter and pumpkin butter from the amish stand.,availability,"apple, pumpkin",,
895,Young and talented musicians on very corner.,environment,"young, talented, musicians",,
896,"Farm raised meats, jerky, and free range chicken.",quality,"farm raised, free range",,
897,It was one of my hubby and I's wedding presents to each other.,,,,
898,"Had I but known, I would have only picked up one.",,,,
899,A cool summer means you might find cucumbers in August.,availability,"find, cucumbers",,
900,They are open on Sundays from 10:00 am to 2:00 pm.,,,,
901,"My favorites include: tomatoes, honeycrisp apples, cheese curds, peppers, rhubarbs, pickles, honey, jam, mushrooms and also their fresh pasta.",availability,"include, tomatoes, apples, peppers, rhubarbs, pickles, jam, mushrooms",multiple commma,
902,I absolutely love all the produce that the farmers bring.,,,,
903,The food is fresh and the prices are good.,quality,"fresh, prices",price,
904,"I, myself, don't mind going over to Belleville but sometimes it's hard to do so when you don't have much time to do it!",,,,
905,The corn selection was great and the prices were what I expected to pay.,"availability, environment","corn, selection, prices, pay",price,
906,"No seed sowing, no cultivation, no irrigation, no harvesting and no worries...you just enjoy!",,,,
907,"Now the market...well, being the 1st day & all, there are definitely some kinks that need to be worked out.",,,,
908,"Being a holiday market, you would almost thing CC would prioritize the crafters and non-food vendors for gifts, but no.",,,,
909,I'm at the Farmers Market this morning in Rogers Park I innocently asked a vendor what kind of tomato were these bunch of brownish tomatoes?,availability,tomatoes,,
910,Keep in mind the bag will be hot as the chicken was alive mere moments ago.,,,,
911,"Our two 'splurges'...the goat cheese and honey, were the two most expensive items, at $6 and $3.50, respectively.",environment,expensevie,price,
912,"Dirty shoes, strawberry stained hands and mild body aches from the stooping and bending.",safety,"dirty, stained, hands",,
913,"I will never buy my produce in the store again - well, on days that they are open.",,,,
914,"It features vendors hawking their wares ranging from fresh fruits, veggies, plants, flowers and other edibles such as donuts, gluten-free cookies and even hot dogs.",availability,"ranging from, such as",multiple commma,
915,(Yes they got a fresh angled cut first.),,,,
916,"Its always packed, and great to bring the kids and big stomachs.",environment,"packed, kids, stomachs",,
917,Oh yeah the donuts.,environment,donuts,,
918,One woman had a double-wide stroller AND a dog and was sipping on her Starbucks oblivious to the traffic jam she was causing.,environment,"dog, traffic",,
919,This location is close to the CWE Metrolink.,environment,"location, close",,
920,Tons of vendors and many types of goodies to buy.,availability,"tons of, many types of, vendors, buy",,
921,"I was alone, it was 7:30 am, and I didn't want to be rude...I picked up two bags of Raspberry pasta out of a tub marked ""2"". Thinking these bags were ""2"" dollars each, I walked up to pay.",,,,
922,"There are lots of vendors selling clothing, jewelry and knick knacks taking away from the supposed ""French"" feel of it.",availability,"lots of, selling",,
923,By going you will:,,,,
924,We only picked up a few things but I will definitely be stopping by here more often now.,availability,"picked up, a few",,
925,"I walked out with a beautiful loaf of sourdough with asiago and peppercorns, some incredible croissants and a jar of raspberry jam.",quality,"beautiful, inredible, raspberry, jam",,
926,You won't be dissapointed.,,,,
927,I didn't notice them until I went home.,,,,
928,Be sure to take your picture with one of the wooden pop-ups they have built.,,,,
929,"The cilantro was wilting and going bad, the jalapenos were starting to wrinkle and go soft so I didn't purchase those items.",quality,"wilting, going bad, wrinkle, soft, cilantro, jalapenos",,
930,"The strawberries are small, but they are packed full of flavor.",quality,"small, flavor, strawberries",,
931,I bought my daughter a butter croissant at one of the bread stands and it was so delicious and buttery (wish I remembered the name!),quality,delicious,,
932,Owner is friendly and we chatted for a bit while chicken is slaughtered and cleaned.,environment,"owner, friendly, cheaned",,
933,I am at their market stand every week.,,,,
934,"The pick your own herbs garden includes basil, Thai basil, purple basil, Greek and Italian oregano, sage, mint, chocolate mint... the list goes on.",availability,"includes, thai basil purple basil, greek, oregano, sage, mint, list, goes on",multiple commma,
935,A lot of places offer samples before taking the leap and committing to buy their product.,availability,"a lot of, offer, samples, buy",,
936,Overall - it was great!,,,,
937,"I probably won't be back, I have my dog in the car with me most weekends.",,,,
938,"For the basic information: there is parking right across the street, it's at the corner of Wagner and Lake on the edge of Glenview/Wilmette, and you can't go into the fields where the animals are grazing (for obvious reasons).",environment,"parking, animals",,
939,The crowd at the city market seems to not realize that their are other people there besides them.,environment,crowd,,
940,Crowds not too large.,environment,crowds,,
941,"And a lot more, so I spent a little time just browsing everything.",,,,
942,"The fresh produce is great, and several vendors sell honey, eggs, cheese, ice cream, and meat as well.",availability,"vendors, sell, as well",multiple commma,
943,"The church parking lot where the farmers market is makes their own donuts - cinnamon, powdered sugar and plain.",environment,"parking, donuts",,
944,"I wish it was adjacent to a park so you could take a break from the crowd and sit down to enjoy your lunch, breakfast or snack you will inevitably buy while there.",environment,"park, crowd, enjoy, snack",,
945,There was spots all over and we were not able to find one good apple.,quality,"spots, find, apple",,
946,There are quite a few farm stands in the area.,,,,
947,"They have the largest selection I have ever seen, and they even have custom blends for marinating and making dips and dressings.",availability,selection,,
948,Really nice apple orchard.,,,,
949,They make the coffee by pour over.,environment,coffee,,
950,"There's a cute, rustic feel to the place, and it's charming.",environment,"cute, rustic, feel, place, charming",,
951,"It's all there, and it's all beautiful and wonderful.",,"beautiful, wonderful",,
952,"This year the market opened two-weeks early, which was very exciting for those of us who enjoy a great Farmer's Market.",,,,
953,Walking through the grass under the shade of trees made me forget I was in the middle of a big bustling city.,environment,"walking, grass, shade",,
954,Plenty of CTA bus stops nearby as well.,environment,"bus, nearby",,
955,"Prices are not cheaper than the grocery store, but the freshness and quality are better.",quality,"freshness, quality, cheaper",price,
956,Have I mentioned Golden Delicious yet?!?!,,,,
957,This is a great farmers market.,,,,
958,"They are at the summer farmer's markets around Madison, including the famous Madison Farmer's Market.",,,,
959,Great standby if you live in the area.,,,,
960,"Although there still seems to be some empty and abandoned places at this site from when this was originally built, there are amenities here make it a good local destination for all.",environment,"empty, abandones, places",,
961,They're your neighbors.,environment,neighbors,,
962,Worst owners I have ever encountered.,environment,owners,,
963,We did have trouble parking though.,environment,parking,,
964,"If your staff hates/finds children and tourist annoying, then maybe they shouldn't be working in a place where the public is invited to visit.",environment,children,,
965,What a disaster.,,,,
966,I find myself frequenting Brandau's multiple times a week during the summer.,,,,
967,I love the lady who brings in the rice wrapped in grape leaves or the farm that makes its own peanut butter from cashews.,,,,
968,Everything is numbered and the auction starts at around 10:30.,,,,
969,I've heard phenomenal things about their sweet corn.,quality,"phenomenal, sweet corn",,
970,Different honey combos jarred up and ready to go.,,,,
971,The owner also supports local schools through fruit donations.,environment,"owner, supports, local, schools, donations",,
972,Fresh ones last longer. ;-),quality,"freh, last, longer",,
973,"I found this strange, but that could just be me.",,,,
974,"I left, very disappointed will return, but will inspect all fruits and veggies more carefully before I buy them.",quality,inspect,,
975,They nowhere near represent the array of Vietnamese food you can find in Argyle.,,,,
976,And when we moved from the tomato area she took away every tomato I and my daughter touched.,environment,"touched, tomato",,
977,"Last Saturday, I was in Terre Haute (don't bother with the map, there's no reason for you to know where it is) and noticed advertisements for a farmer's market.",,,,
978,Another reason to love Wisconsin and relish in the charm that is Beloit Love the options here.,,,,
979,Very handy to the neighborhood.,environment,"handy, neighborhood",,
980,"And, the owners are super sweet.",environment,"owners, sweet",,sweet? Quality 
981,The line might look long and deceiving but it actually went pretty fast and the staff was super friendly.,environment,"staff, friendly",,
982,"Yes and yes...with only one trip, the Ferguson Farmers' Market has become our one and only.",,,,
983,"We look forward to our Saturday mornings and even better, the nights because we get to make what we bought.",,,,
984,NOTE: Good amount of stairs up and down.,,,,
985,"Plenty of fresh locally grown organic fruits, veggies, free range poultry and beef.","quality, availability","plenty of, locally grown, organic, free",,
986,It shoots a pumpkin every hour on the hour.,environment,pumpkin,,
987,"Anyways, all I can say is UGH!",,,,
988,"The heirloom tomatoes are at the end of their season to make way for a variety of squash, pumpkins, apples and Indian corn.",availability,"tomatoes, a variety of, squash, pumpkins, apples, corn",multiple commma,
989,"Stop by and see Mike from Churchhill Orchards for the greatest peaches, blueberries, plums, etc. around.",availability,"peaches, blueberries, plums, etc.",multiple commma,
990,It seems like you are not.,,,,
991,They have all the fresh fruits and vegetables that you would expect.,availability,"they have, expect, all",,
992,"There are lots of vendors for fresh fruits and veggies as well as for fresh meats, honey, and bread.",availability,"lots of, vendors, as well as",multiple commma,
993,The night market was fun but busy...,environment,"fun, busy",,
994,Just raised $65k for decor/renovation.,,,,
995,"Homemade jelly, butter and organic milk are awesome!",quality,"awesome, jelly",,
996,"I made dill pickles and mixed vegetable pickles with their produce, both batches turned out nice and crisp.",quality,"nice, crisp, vegetable pickes",,
997,They're the BEST danishes in the city!,,,,
998,"To know that I saw the animal alive and breathing before I ate it, allows me to appreciate the animal lives lost so that I can live.",environment,animal,,
999,"""Go Cubs Go, Go Cubs Go, Hey Chicago What Do You Say?",,,,
1000,Something to note: I believe they do not allow dogs/pets to be walking around the square when the market is happening,safety,"allow, dog, pets, walking",,
1001,"Generally speaking even though this is not an extensive farmers market, it is an extraordinarily wonderful source of high quality super tasty food items.",quality,"high quality, tasty",,
1003,"The harvest wasn't great this year so no apple picking this year, but last year was great and so will next year.",,,,
1004,Mindful.,,,,
1005,If you feel like picking your own that's an option as well.,,,,
1006,"As soon as we came in, we had a shadow watching our every move, he made us feel very uncomfortable!",environment,uncomfortable,,
1007,That's right.,,,,
1008,So this one is noteworthy as a contrast.,,,,
1009,Come to Skokie!,,,,
1010,Rockford City Market is a fun twist on a Farmer's Market that is in Downtown Rockford on Water Street between State and Market.,environment,fun,,
1011,"The route there was under construction and had to detour around, but signs were well marked.",environment,"construction, route, signs, marked",,
1012,"Full disclosure, I am the Marketing Chair for GSM and am on the board and I am an unabashed fan of our lil' ol' market.",,,,
1013,Hell yes.,,,,
1014,Everything from the donuts sold by the church ladies to the vegan muffins to the fresh produce.,availability,everything from,,
1015,I was really really excited to ride my bike to this and to be able to buy local produce again.,environment,"excited, ride, bike, local",,
1016,"The Pie Safe vendor was there, so I indulged in a delicious very cute heart shaped pie pop.",quality,"delicious, cute",,
1017,It's awesome farm love the place with beautiful animals just white horses keep attack new black horses sad to see it you can see marks on horses by the bites I know all animals are territorial but these horses need protection Fun and educational place to take little ones.,environment,"animals, fun, educational",,
1018,Best idea ever!,,,,
1019,But nobody tells you that.,,,,
1020,"I love using this garlic in different meats as well as using it sparingly in salads, grilled salmon or broiled Talapia.",,,,
1021,"I replied, ""well, that's how you were advertising it two minutes ago.""",environment,advertising,,
1022,I humblely told him this was my first visit.,,,,
1023,Cannot give a higher rating because of the no receipt policy Rendleman Orchard's Farm Market is one of my favorite places to visit when I'm in Southern Illinois.,environment,"receipt, policy",,
1024,Thought I had reviewed this previously.,,,,
1025,"I said ""So, it's $4?""",,,,
1026,Really a great farmers market.,environment,great,,
1027,The croissants that the nuns make are heavenly(Even my children can tell the difference between these and the ones from Costco.).,quality,heavenly,,
1028,Fantastic organized clean large FARMERS MARKET !!!!!,environment,"fantastic, organized, clean, large",,
1029,I've never been extraordinarily impressed by the produce section.,quality,"extraordinarily, impressed",,
1030,"But that's okay, because Illinois has the best corn in the world.",quality,"best, world",,
1031,"The prices are reasonable, and the selection is huge.","availability, environment","selection, huge, price, resonable",price,
1032,And delicious as well!,quality,delicious,,
1033,I LOVE it!,,,,
1034,Very friendly An egg review.,environment,friendly,,
1035,Great spot to bring the family and enjoy the local vibes and lounge on the grassy areas surrounding the capital building.,environment,"family, local, enjoy",,
1036,"I can't recall the names of the businesses, but there were only two who had any Vegan baked goods, so you'll know them when you see them.",,,,
1037,Is it because they don't want the public to see their own practices?,,,,
